question,intent
Qui est le doyen de la faculté des Sciences?,fso doyen nom mot-du-doyen
Pouvez-vous me dire le nom du doyen de la FSO?,fso doyen nom mot-du-doyen
Qui dirige la faculté des Sciences de l'UMP?,fso doyen nom mot-du-doyen
Quel professeur occupe le poste de doyen à la FSO?,fso doyen nom mot-du-doyen
Comment s'appelle le doyen de la faculté des Sciences?,fso doyen nom mot-du-doyen
Qui est le responsable administratif en chef de la FSO?,fso doyen nom mot-du-doyen
Quel est le nom du doyen de la faculté des Sciences?,fso doyen nom mot-du-doyen
Qui représente officiellement la faculté des Sciences comme doyen?,fso doyen nom mot-du-doyen
Quelle est la personne à contacter pour le mot du doyen?,fso doyen nom mot-du-doyen
Qui est à la tête de la FSO?,fso doyen nom mot-du-doyen
Qui est actuellement le doyen de la faculté des Sciences?,fso doyen nom mot-du-doyen
Pouvez-vous me donner le nom complet du doyen de la FSO?,fso doyen nom mot-du-doyen
Qui dirige actuellement la faculté des Sciences de l'UMP?,fso doyen nom mot-du-doyen
Quel professeur occupe le poste de doyen à la FSO cette année?,fso doyen nom mot-du-doyen
Je cherche les coordonnées du doyen de la faculté des Sciences.,fso doyen nom mot-du-doyen
Quel est le nom du doyen actuel de la faculté des Sciences?,fso doyen nom mot-du-doyen
Comment s'appelle le doyen en fonction cette année académique?,fso doyen nom mot-du-doyen
Who is the dean of the Faculty of Science?,fso doyen nom mot-du-doyen
Can you tell me the name of the FSO dean?,fso doyen nom mot-du-doyen
Who leads the Faculty of Science at UMP?,fso doyen nom mot-du-doyen
Which professor holds the dean position at FSO?,fso doyen nom mot-du-doyen
What is the name of the Faculty of Science dean?,fso doyen nom mot-du-doyen
Who is the chief administrative officer of FSO?,fso doyen nom mot-du-doyen
What is the dean's name at the Faculty of Science?,fso doyen nom mot-du-doyen
Who officially represents the Faculty of Science as dean?,fso doyen nom mot-du-doyen
Who is the person to contact for the dean's message?,fso doyen nom mot-du-doyen
Who heads the FSO?,fso doyen nom mot-du-doyen
Who is currently the dean of the Faculty of Science?,fso doyen nom mot-du-doyen
Can you provide the full name of the FSO dean?,fso doyen nom mot-du-doyen
Who is currently leading the Faculty of Science at UMP?,fso doyen nom mot-du-doyen
Which professor holds the dean position at FSO this year?,fso doyen nom mot-du-doyen
I'm looking for the contact details of the Faculty of Science dean.,fso doyen nom mot-du-doyen
What is the name of the current Faculty of Science dean?,fso doyen nom mot-du-doyen
What is the name of the dean in office this academic year?,fso doyen nom mot-du-doyen
من هو عميد كلية العلوم؟,fso doyen nom mot-du-doyen
هل يمكنك إخباري باسم عميد كلية العلوم؟,fso doyen nom mot-du-doyen
من يقود كلية العلوم في جامعة محمد الأول؟,fso doyen nom mot-du-doyen
أي أستاذ يشغل منصب العميد في كلية العلوم؟,fso doyen nom mot-du-doyen
ما اسم عميد كلية العلوم؟,fso doyen nom mot-du-doyen
من هو المسؤول الإداري الأول في كلية العلوم؟,fso doyen nom mot-du-doyen
ما هو اسم العميد في كلية العلوم؟,fso doyen nom mot-du-doyen
من يمثل كلية العلوم رسمياً كعميد؟,fso doyen nom mot-du-doyen
من هو الشخص الذي يجب الاتصال به لكلمة العميد؟,fso doyen nom mot-du-doyen
من يرأس كلية العلوم؟,fso doyen nom mot-du-doyen
من هو عميد كلية العلوم الحالي؟,fso doyen nom mot-du-doyen
هل يمكنك تقديم الاسم الكامل لعميد كلية العلوم؟,fso doyen nom mot-du-doyen
من هو المسؤول عن كلية العلوم في جامعة محمد الأول حالياً؟,fso doyen nom mot-du-doyen
أي أستاذ يشغل منصب العميد هذا العام؟,fso doyen nom mot-du-doyen
أبحث عن تفاصيل الاتصال بعميد الكلية.,fso doyen nom mot-du-doyen
ما اسم عميد كلية العلوم الحالي؟,fso doyen nom mot-du-doyen
كيف يسمى العميد في هذه السنة الدراسية؟,fso doyen nom mot-du-doyen
ⴰⵏⵡⴰ ⵉ ⴷ ⴰⵎⴻⵏⵣⵓ ⵏ ⵜⴻⵎⴷⵉⵏⵜ ⵏ ⵜⵓⵙⵙⵏⴰ?,fso doyen nom mot-du-doyen  
ⵜⵣⵎⵔⴻⴹ ⴰⴷ ⵉⵢⵉ-ⴷ-ⵜⵉⵏⵉⴹ ⵉⵙⴻⵎ ⵏ ⵓⵎⴻⵏⵣⵓ ⵏ FSO?,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⵉ ⵉⵃⴻⴽⴽⵎⴻⵏ ⵜⴻⵎⴷⵉⵏⵜ ⵏ ⵜⵓⵙⵙⵏⴰ ⴷⴻⴳ UMP?,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⴰⵙⴻⵍⵎⴰⴷ ⵉ ⵢⴻṭṭⴻⴼ ⵓⴷɣⴰⵔ ⵏ ⵓⵎⴻⵏⵣⵓ ⴷⴻⴳ FSO?,fso doyen nom mot-du-doyen  
ⴰⵎⴻⴽ ⵉⵙⴻⵎ ⵓⵎⴻⵏⵣⵓ ⵏ ⵜⴻⵎⴷⵉⵏⵜ ⵏ ⵜⵓⵙⵙⵏⴰ?,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⵉ ⴷ ⴰⵎⴻqqⵔⴰⵏ ⴰⵏⴻⴷⴱⴰⵍ ⴰⵎⴻⵣⵡⴰⵔⵓ ⵏ FSO?,fso doyen nom mot-du-doyen  
ⴰⵢɣⴻⵔ ⴷ ⵉⵙⴻⵎ ⵏ ⵓⵎⴻⵏⵣⵓ ⵏ ⵜⴻⵎⴷⵉⵏⵜ ⵏ ⵜⵓⵙⵙⵏⴰ?,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⵉ ⵉⵎⴻⵜⵜⴰⵍⴻⵏ ⵜⴻⵎⴷⵉⵏⵜ ⵏ ⵜⵓⵙⵙⵏⴰ ⵙ ⵓⵔⵙⵎⴰⵢ ⴷ ⵓⵎⴻⵏⵣⵓ?,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⵉ ⴷ ⴰⵎⴷⴰⵏ ⴰⵔⴰ ⵏⴻⵔⵎⴻⵙ ⵉ ⵡⴰⵡⴰⵍ ⵏ ⵓⵎⴻⵏⵣⵓ?,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⵉ ⴷ ⵉⵅⴻⴼ ⵏ FSO?,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⵉ ⴷ ⴰⵎⴻⵏⵣⵓ ⵏ ⵜⴻⵎⴷⵉⵏⵜ ⵏ ⵜⵓⵙⵙⵏⴰ ⴰⴽⴽⴰ ⵜⵓⵔⴰ?,fso doyen nom mot-du-doyen  
ⵜⵣⵎⵔⴻⴹ ⴰⴷ ⴷ-ⵜⴻⵙεⵉḍ ⵉⵙⴻⵎ ⵓⵎⵎⵉⴷ ⵏ FSO?,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⵉ ⴷ ⴰⵏⴻⴱⴷⴰḍ ⵏ ⵜⴻⵎⴷⵉⵏⵜ ⵏ ⵜⵓⵙⵙⵏⴰ ⴷⴻⴳ UMP ⴰⴽⴽⴰ ⵜⵓⵔⴰ?,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⴰⵙⴻⵍⵎⴰⴷ ⵉ ⵢⴻṭṭⴻⴼ ⵓⵃⵓⴷⴷⵓ ⵏ ⵓⵎⴻⵏⵣⵓ ⴷⴻⴳ FSO ⴰⵙⴻⴳⴳⴰⵙ-ⴰ?,fso doyen nom mot-du-doyen  
ⵍⴰⵇ ⴰⴷ ⴷ-ⴰⴼⴻɣ ⵉⵏⴻⵔⵎⵉⵙⴻⵏ ⵏ ⵓⵎⴻⵏⵣⵓ ⵏ ⵜⴻⵎⴷⵉⵏⵜ ⵏ ⵜⵓⵙⵙⵏⴰ.,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⵉ ⴷ ⴰⵏⴻⵔⵎⴰⵙ ⴰⵏⴰⴱⴰḍⴰⵏ ⴰⵎⴻⵏⵣⵓ ⴷⴻⴳ FSO?,fso doyen nom mot-du-doyen  
ⴷ ⴰⵛⵓ ⵉⵙⴻⵎ ⵏ ⵓⵎⴻⵏⵣⵓ ⵏ ⵜⴻⵎⴷⵉⵏⵜ ⵏ ⵜⵓⵙⵙⵏⴰ ⴰⴽⴽⴰ ⵜⵓⵔⴰ?,fso doyen nom mot-du-doyen  
ⴰⵎⴻⴽ ⵉ ⵙⵎⵎⴰⵏ ⵓⵎⴻⵏⵣⵓ ⴷⴻⴳ ⵓⵙⴻⴳⴳⴰⵙ-ⴰ ⵏ ⵜⵙⴻⵏⵙⴻⵍⴽⵉⵎⵜ?,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⵉ ⴷ ⵡⵉⵏ ⵢⴻⵜⵜⴻⴽⴽⴰ ⵙ ⵓⵎⴰⵜⴰ ⵉ ⵜⴻⵎⴷⵉⵏⵜ ⵏ ⵜⵓⵙⵙⵏⴰ ⴷ ⴰⵎⴻⵏⵣⵓ?,fso doyen nom mot-du-doyen  
ⴰⵏⵡⴰ ⵉ ⴷ ⵡⵉⵏ ⵉⵍⴰⵇ ⴰⴷ ⵏⴻⵔⵎⴻⵙ ⵉ ⵡⴰⵡⴰⵍ ⵏ ⵓⵎⴻⵏⵣⵓ?,fso doyen nom mot-du-doyen  
Quelle est la description officielle de la faculté des Sciences de l'UMP?,faculty_general_info
Pouvez-vous me donner un aperçu général de la FSO?,faculty_general_info
Quelles sont les informations de base sur la faculté des Sciences?,faculty_general_info
Comment est organisée la faculté des Sciences de l'Université Mohammed Premier?,faculty_general_info
Quelles sont les principales caractéristiques de la FSO?,faculty_general_info
Où puis-je trouver des informations générales sur la faculté des Sciences?,faculty_general_info
Quelle est l'histoire de la création de la faculté des Sciences?,faculty_general_info
Quels sont les services principaux offerts par la FSO?,faculty_general_info
Comment obtenir une brochure d'information sur la faculté?,faculty_general_info
Qui sont les fondateurs de la faculté des Sciences de l'UMP?,faculty_general_info
Peux-tu me présenter la faculté des Sciences de l’UMP ?,faculty_general_info
Quelle est la mission principale de la FSO ?,faculty_general_info
Quels sont les domaines d’enseignement proposés par la faculté des Sciences ?,faculty_general_info
Depuis quand existe la faculté des Sciences de l’UMP ?,faculty_general_info
Comment fonctionne la faculté des Sciences au quotidien ?,faculty_general_info
