question,intent,lang
Qui est le doyen de la faculté des Sciences?,fso doyen nom mot-du-doyen,fr
Pouvez-vous me dire le nom du doyen de la FSO?,fso doyen nom mot-du-doyen,fr
Qui dirige la faculté des Sciences de l'UMP?,fso doyen nom mot-du-doyen,fr
Quel professeur occupe le poste de doyen à la FSO?,fso doyen nom mot-du-doyen,fr
Comment s'appelle le doyen de la faculté des Sciences?,fso doyen nom mot-du-doyen,fr
Qui est le responsable administratif en chef de la FSO?,fso doyen nom mot-du-doyen,fr
Quel est le nom du doyen de la faculté des Sciences?,fso doyen nom mot-du-doyen,fr
Qui représente officiellement la faculté des Sciences comme doyen?,fso doyen nom mot-du-doyen,fr
Quelle est la personne à contacter pour le mot du doyen?,fso doyen nom mot-du-doyen,fr
Qui est à la tête de la FSO?,fso doyen nom mot-du-doyen,fr
Qui est actuellement le doyen de la faculté des Sciences?,fso doyen nom mot-du-doyen,fr
Pouvez-vous me donner le nom complet du doyen de la FSO?,fso doyen nom mot-du-doyen,fr
Qui dirige actuellement la faculté des Sciences de l'UMP?,fso doyen nom mot-du-doyen,fr
Quel professeur occupe le poste de doyen à la FSO cette année?,fso doyen nom mot-du-doyen,fr
Je cherche les coordonnées du doyen de la faculté des Sciences.,fso doyen nom mot-du-doyen,fr
Quel est le nom du doyen actuel de la faculté des Sciences?,fso doyen nom mot-du-doyen,fr
Comment s'appelle le doyen en fonction cette année académique?,fso doyen nom mot-du-doyen,fr
Who is the dean of the Faculty of Science?,fso doyen nom mot-du-doyen,en
Can you tell me the name of the FSO dean?,fso doyen nom mot-du-doyen,en
Who leads the Faculty of Science at UMP?,fso doyen nom mot-du-doyen,en
Which professor holds the dean position at FSO?,fso doyen nom mot-du-doyen,en
What is the name of the Faculty of Science dean?,fso doyen nom mot-du-doyen,en
Who is the chief administrative officer of FSO?,fso doyen nom mot-du-doyen,en
What is the dean's name at the Faculty of Science?,fso doyen nom mot-du-doyen,en
Who officially represents the Faculty of Science as dean?,fso doyen nom mot-du-doyen,en
Who is the person to contact for the dean's message?,fso doyen nom mot-du-doyen,en
Who heads the FSO?,fso doyen nom mot-du-doyen,en
Who is currently the dean of the Faculty of Science?,fso doyen nom mot-du-doyen,en
Can you provide the full name of the FSO dean?,fso doyen nom mot-du-doyen,en
Who is currently leading the Faculty of Science at UMP?,fso doyen nom mot-du-doyen,en
Which professor holds the dean position at FSO this year?,fso doyen nom mot-du-doyen,en
I'm looking for the contact details of the Faculty of Science dean.,fso doyen nom mot-du-doyen,en
What is the name of the current Faculty of Science dean?,fso doyen nom mot-du-doyen,en
What is the name of the dean in office this academic year?,fso doyen nom mot-du-doyen,en
من هو عميد كلية العلوم؟,fso doyen nom mot-du-doyen,ar
هل يمكنك إخباري باسم عميد كلية العلوم؟,fso doyen nom mot-du-doyen,ar
من يقود كلية العلوم في جامعة محمد الأول؟,fso doyen nom mot-du-doyen,ar
أي أستاذ يشغل منصب العميد في كلية العلوم؟,fso doyen nom mot-du-doyen,ar
ما اسم عميد كلية العلوم؟,fso doyen nom mot-du-doyen,ar
من هو المسؤول الإداري الأول في كلية العلوم؟,fso doyen nom mot-du-doyen,ar
ما هو اسم العميد في كلية العلوم؟,fso doyen nom mot-du-doyen,ar
من يمثل كلية العلوم رسمياً كعميد؟,fso doyen nom mot-du-doyen,ar
من هو الشخص الذي يجب الاتصال به لكلمة العميد؟,fso doyen nom mot-du-doyen,ar
من يرأس كلية العلوم؟,fso doyen nom mot-du-doyen,ar
من هو عميد كلية العلوم الحالي؟,fso doyen nom mot-du-doyen,ar
هل يمكنك تقديم الاسم الكامل لعميد كلية العلوم؟,fso doyen nom mot-du-doyen,ar
من هو المسؤول عن كلية العلوم في جامعة محمد الأول حالياً؟,fso doyen nom mot-du-doyen,ar
أي أستاذ يشغل منصب العميد هذا العام؟,fso doyen nom mot-du-doyen,ar
أبحث عن تفاصيل الاتصال بعميد الكلية.,fso doyen nom mot-du-doyen,ar
ما اسم عميد كلية العلوم الحالي؟,fso doyen nom mot-du-doyen,ar
كيف يسمى العميد في هذه السنة الدراسية؟,fso doyen nom mot-du-doyen,ar
ⵜⵣⵎⵔⴻⴹ ⴰⴷ ⴷ-ⵜⴻⵙεⵉḍ ⵉⵙⴻⵎ ⵓⵎⵎⵉⴷ ⵏ FSO?,fso doyen nom mot-du-doyen  ,el
Quelle est la description officielle de la faculté des Sciences de l'UMP?,faculty_general_info,fr
Pouvez-vous me donner un aperçu général de la FSO?,faculty_general_info,fr
Quelles sont les informations de base sur la faculté des Sciences?,faculty_general_info,fr
Comment est organisée la faculté des Sciences de l'Université Mohammed Premier?,faculty_general_info,fr
Quelles sont les principales caractéristiques de la FSO?,faculty_general_info,fr
Où puis-je trouver des informations générales sur la faculté des Sciences?,faculty_general_info,fr
Quelle est l'histoire de la création de la faculté des Sciences?,faculty_general_info,fr
Quels sont les services principaux offerts par la FSO?,faculty_general_info,fr
Comment obtenir une brochure d'information sur la faculté?,faculty_general_info,fr
Qui sont les fondateurs de la faculté des Sciences de l'UMP?,faculty_general_info,fr
Peux-tu me présenter la faculté des Sciences de l’UMP ?,faculty_general_info,fr
Quelle est la mission principale de la FSO ?,faculty_general_info,fr
Quels sont les domaines d’enseignement proposés par la faculté des Sciences ?,faculty_general_info,fr
Depuis quand existe la faculté des Sciences de l’UMP ?,faculty_general_info,fr
Comment fonctionne la faculté des Sciences au quotidien ?,faculty_general_info,fr
